id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,feature drift,37,72,5,102,434,ship,baseline,monotonic-signal
g002,window width,84,45,7,27,361,ship,edge,drag-penalty
g003,metric stability,67,69,10,105,499,ship,recovery,confidence-floor
g004,explainability,62,48,34,80,272,ship,negative,lane-boundary
g005,feature drift,107,75,26,29,399,ship,baseline,monotonic-signal
g006,window width,45,21,24,94,245,ship,edge,drag-penalty
g007,metric stability,62,67,24,45,290,ship,recovery,confidence-floor
g008,explainability,30,57,5,25,229,ship,negative,lane-boundary
g009,feature drift,105,20,18,20,305,ship,baseline,monotonic-signal
g010,window width,58,74,26,22,236,ship,edge,drag-penalty
g011,metric stability,38,68,31,27,149,watch,recovery,confidence-floor
g012,explainability,76,68,14,34,362,ship,negative,lane-boundary
g013,feature drift,54,70,33,42,221,ship,baseline,monotonic-signal
g014,window width,91,39,18,94,449,ship,edge,drag-penalty
g015,metric stability,69,26,33,38,170,ship,recovery,confidence-floor
g016,explainability,105,22,42,101,351,ship,negative,lane-boundary
g017,feature drift,39,57,27,51,198,ship,baseline,monotonic-signal
g018,window width,53,42,21,73,284,ship,edge,drag-penalty
g019,metric stability,64,37,20,89,344,ship,recovery,confidence-floor
g020,explainability,73,37,42,101,285,ship,negative,lane-boundary
g021,feature drift,81,40,33,26,210,ship,baseline,monotonic-signal
g022,window width,88,44,30,104,410,ship,edge,drag-penalty
g023,metric stability,51,48,30,79,257,ship,recovery,confidence-floor
g024,explainability,80,53,32,28,242,ship,negative,lane-boundary
g025,feature drift,98,37,34,93,384,ship,baseline,monotonic-signal
g026,window width,111,52,37,44,340,ship,edge,drag-penalty
g027,metric stability,77,27,19,24,238,ship,recovery,confidence-floor
g028,explainability,63,52,11,105,448,ship,negative,lane-boundary
g029,feature drift,104,67,9,21,443,ship,baseline,monotonic-signal
g030,window width,84,77,9,26,413,ship,edge,drag-penalty
g031,metric stability,77,50,32,33,237,ship,recovery,confidence-floor
g032,explainability,78,74,45,41,239,ship,negative,lane-boundary
g033,feature drift,37,53,11,93,348,ship,baseline,monotonic-signal
g034,window width,108,10,16,37,338,ship,edge,drag-penalty
g035,metric stability,103,26,41,100,356,ship,recovery,confidence-floor
g036,explainability,60,72,18,50,334,ship,negative,lane-boundary
g037,feature drift,86,62,45,72,301,ship,baseline,monotonic-signal
g038,window width,103,25,18,88,445,ship,edge,drag-penalty
g039,metric stability,71,9,27,100,296,ship,recovery,confidence-floor
g040,explainability,58,73,12,25,310,ship,negative,lane-boundary
g041,feature drift,99,73,6,103,619,ship,baseline,monotonic-signal
g042,window width,79,75,5,78,518,ship,edge,drag-penalty
g043,metric stability,117,44,27,27,358,ship,recovery,confidence-floor
g044,explainability,95,31,18,92,441,ship,negative,lane-boundary
g045,feature drift,44,27,15,43,197,ship,baseline,monotonic-signal
g046,window width,110,62,15,23,425,ship,edge,drag-penalty
g047,metric stability,58,47,17,104,391,ship,recovery,confidence-floor
g048,explainability,80,42,19,20,269,ship,negative,lane-boundary
g049,feature drift,94,42,22,25,306,ship,baseline,monotonic-signal
g050,window width,105,45,4,32,449,ship,edge,drag-penalty
g051,metric stability,114,49,38,40,330,ship,recovery,confidence-floor
g052,explainability,34,53,36,92,212,ship,negative,lane-boundary
g053,feature drift,41,58,36,36,131,watch,baseline,monotonic-signal
g054,window width,92,42,17,99,473,ship,edge,drag-penalty
g055,metric stability,33,57,30,49,161,watch,recovery,confidence-floor
g056,explainability,51,32,38,71,169,ship,negative,lane-boundary
g057,feature drift,64,57,43,87,265,ship,baseline,monotonic-signal
g058,window width,30,72,26,99,302,ship,edge,drag-penalty
g059,metric stability,104,12,45,24,159,watch,recovery,confidence-floor
g060,explainability,57,55,30,102,335,ship,negative,lane-boundary
g061,feature drift,37,9,45,77,58,hold,baseline,monotonic-signal
g062,window width,30,58,12,26,198,ship,edge,drag-penalty
